playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Melky Cabrera,KC,620,.285,.324,.423,.747
Eric Hosmer,KC,603,.318,.385,.498,.883
Alcides Escobar,KC,599,.250,.272,.357,.629
Whit Merrifield,KC,587,.288,.324,.460,.784
Lorenzo Cain,KC,584,.300,.363,.440,.803
Mike Moustakas,KC,555,.272,.314,.521,.835
Alex Gordon,KC,476,.208,.293,.315,.608
Salvador Perez,KC,471,.268,.297,.495,.792
Jorge Bonifacio,KC,384,.255,.320,.432,.752
Brandon Moss,KC,362,.207,.279,.428,.707
Drew Butera,KC,163,.227,.284,.319,.603
