playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Dan Uggla,FLA,589,.287,.369,.508,.877
Gaby Sanchez,FLA,572,.273,.341,.448,.789
Hanley Ramirez,FLA,543,.300,.378,.475,.853
Giancarlo Stanton,FLA,359,.259,.326,.507,.833
Chris Coghlan,FLA,358,.268,.335,.383,.718
Ronny Paulino,FLA,316,.259,.311,.354,.665
Cameron Maybin,FLA,291,.234,.302,.361,.663
Wes Helms,FLA,254,.220,.300,.346,.646
Logan Morrison,FLA,244,.283,.390,.447,.837
Emilio Bonifácio,FLA,180,.261,.320,.328,.648
Chad Tracy,FLA,146,.247,.306,.322,.628
