playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Felipe Lopez,CIN,580,.291,.352,.486,.838
Adam Dunn,CIN,543,.247,.387,.540,.927
Sean Casey,CIN,529,.312,.371,.423,.794
Ken Griffey Jr.,CIN,491,.301,.369,.576,.945
Rich Aurilia,CIN,426,.282,.338,.444,.782
Austin Kearns,CIN,387,.240,.333,.452,.785
Ryan Freel,CIN,369,.271,.371,.371,.742
Jason LaRue,CIN,361,.260,.355,.452,.807
Wily Mo Peña,CIN,311,.254,.304,.492,.796
Javier Valentin,CIN,221,.281,.362,.520,.882
Edwin Encarnación,CIN,211,.232,.308,.436,.744
